Artist,Track,Lyrics,Genre
Miles Davis,Blue in Green (feat. John Coltrane & Bill Evans),-1,jazz
Art Tatum,Blue Skies,-1,jazz
Béla Bartók,Bluebeard's Castle: VI. Fifth Door - Bluebeard's Vast and Beautiful Kingdom,-1,classical
Robert Cray,Blues Get Off My Shoulder,"Theres a cold cold feelin round my heart
Its trying to get colder
And this heavy heart proves Ive been touched by the blues
Blues get off my shoulder

Got my heart not speakin to my head
Even getting older
And this heavy heart proves that Ive been touched by the blues
Blues get off my shoulder

Blues you hurt me cant you see
Oh youre so mean to me
I cant help you
Please let me be
Oh wont you hear my plea

Now this cold cold feelin driving me back
I sure miss the love that I had
And I hope I love these blues as I get little older
Blues get off my shoulder

Now this cold cold feelin is drivin me mad
Oh I sure miss the love that I had
I hope I lose this blues before I get a little older
Blues get off my shoulder
Oh ohSee Robert Cray LiveGet tickets as low as 98",blues
Léo Delibes,Blumenduett - Lakmé,-1,classical
Crown The Empire,BLURRY (out of place),"Take it all back
A little closer than I needed
So scared that I might be here alone
Take it all back now
To the places I tried leaving
Every map I follow leads to the unknown


I should know but Im scared Im right
Bend and break to see through the lines
Afraid to frame my life
I should know but Im scared Im right
Bend and break to see through the lines
Its easier than saying goodbye


Why do I still feel so lost
Why do I still seem out of place
Everyones out of focus
Everything blurry looks the same
Why do I still feel so lost
I feel so far away
Why do I still feel so lost
Everything blurry looks the same

Why do I Why do I Why do I
Why do I Why do I


When I look back
I never seem to see things clearly
Im dizzy yeah Ive spun out of control
Cause when I look back now
To the lie I keep repeating
Im so scared that I believe it
Im so scared that I believe it


Why do I still feel so lost
Why do I still seem out of place
Everyones out of focus
Everything blurry looks the same
Why do I still feel so lost
I feel so far away
Why do I still feel so lost
Everything blurry looks the same
Everything blurry looks the same


I should know but Im scared Im right
Bend and break to see through the lines
Its easier than saying goodbye

Why do I still feel so lost
Why do I still seem out of place
Everyones out of focus
Everything blurry looks the same
Why do I still feel so lost
I feel so far away
Why do I still feel so lost
Everything blurry looks the same


Why do I Why do I Why do I
Why do I Why do I Why do I still feel out of place
Why do I Why do I Why do I
Why do I Why do I Why do I still feel out of place7",metal
Luigi Boccherini,"Boccherini: String Quintet in E Major, Op. 11 No. 5, G. 275: III. Minuetto - Trio (Arr. Woodhouse for String Orchestra)",-1,classical
Joshua Redman,Body & Soul,-1,jazz
Coleman Hawkins,Body and Soul,-1,jazz
Heatwave,Boogie Nights,"Boogie nights whoa
Boogie nights whoa


Boogie nights boogie nights
Boogie nights Aint no doubt we are here to party
Boogie nights Come on now got to get it started
Dance with the boogie get down
Dance with the boogie get down
Cause boogie nights are always the best in town


Got to keep on dancing keep on dancing
Got to keep on dancing keep on dancing


Boogie nights Get that groove let it take you higher
Boogie nights Make it move set this place on fire
Dance with the boogie get down
Dance with the boogie get down
Cause boogie nights are always the best in town


Got to keep on dancing keep on dancing
Got to keep on dancing keep on dancing

Party right Are you sure that you know how to do it
Boogie nights Do it do it
Party right Get on down with the sounds of the music
Boogie night Music music
Boogie nights Its alright when you got the feeling
Boogie nights Hold it tight got to keep on dealing


Dance with the boogie get down
Dance with the boogie get down
Cause boogie nights are always the best in town


Got to keep on dancing keep on dancing
Got to keep on dancing keep on dancing
Boogie nights boogie nights
Got to keep on dancing keep on dancing
Boogie nights boogie nights
Got to keep on dancing keep on dancing

Dance with the boogie get down
Dance with the boogie get down
Cause boogie nights are always the best in town

Got to keep on dancing keep on dancing
Got to keep on dancing keep on dancing
Party right Are you sure that you know how to do it
Boogie nights Do it do it
Party right Get on down with the sounds of the music
Boogie night Music music

Boogie nights Its alright when you got the feeling
Boogie nights Hold it tight got to keep on dealing
Dance with the boogie get down
Dance with the boogie get down
Cause boogie nights are always the best in town


Got to keep on dancing keep on dancing
Got to keep on dancing keep on dancing


Boogie nights oh
Got to keep on dancing keep on dancing
Got to keep on dancing keep on dancing
Boogie nights oh
Got to keep on dancing keep on dancing
Got to keep on dancing keep on dancing


Boogie nights oh
If you wanna boogie boogie boogie boogie nights
Boogie nights oh
If you wanna boogie boogie boogie boogie nights
Boogie nights oh
If you wanna boogie boogie boogie boogie nights
Boogie nights oh
If you wanna boogie boogie boogie boogie nights
Boogie nights oh
If you wanna boogie boogie boogie boogie nights2",disco
The Heptones,Book Of Rules,"Isnt it strange how princesses and kings
In clownragged capers in sawdust rings
While common people like you and me
Well be builders for eternity
Each is given a bag of tools
A shapeless mass and the book of rules

Each must make his life as flowing in
Tumbling block on a stepping stone
While common people like you and me
Well be builders for eternity
Each is given a bag of tools
A shapeless mass and the book of rules

Look when the rain has fallen from the sky
You know the sun will be only with us for a while
While common people like you and me
Well be builders for eternity
Each is given a bag of tools
A shapeless mass and the book of rules",reggae
"Royce Da 5'9""",Boom - Explicit Album Version,-1,hiphop
John Lee Hooker,Boom Boom,"Boom boom boom boom
Im gonna shoot you right down
Right off your feet
Take you home with me
Put you in my house
Boom boom boom boom
Mmmm hmmm
Mm hm hm hm


I love to see you walk
Up and down the floor
When you talking to me
That baby talk
I like it like that
You talk like that
You knock me dead
Right off my feet
A haw haw haw haw
Whoa




Once you walk that walk
And talk that talk
And whisper in my ear
Tell me that you love me
I love that talk
That baby talk
You knock me dead
Right off my feet
A haw haw haw haw
Yeah yeah
7",blues
Brooks & Dunn,Boot Scootin' Boogie,"Out in the country past the city limits sign
Well theres a honky tonk near the county line
The joint starts jumpin every night when the sun goes down
They got whiskey women music and smoke
Its where all the cowboy folk go to boot scootin boogie


Ive got a good job I work hard for my money
When its quittin time I hit the door runnin
I fire up my pickup truck and let the horses run
I go flyin down that highway to that hideaway
Stuck out in the woods to do the boot scootin boogie


Yeah heel toe dosido come on baby lets go boot scootin
Oh Cadillac blackjack baby meet me outback were gonna boogie
Oh get down turn around go to town boot scootin boogie


The bartender asks me says son whatll it be
I want a shot of that redhead yonder lookin at me
The dance floors hoppin and its hotter than the fourth of July
I see outlaws inlaws crooks  straights all out makin it shake
Doin the boot scootin boogie
See Brooks  Dunn LiveGet tickets as low as 30
Yeah heel toe dosido come on baby lets go boot scootin
Cadillac blackjack baby meet me outback were gonna boogie
Oh get down turn around go to town boot scootin boogie7",Country
Paul Desmond,Bossa Antigua,-1,jazz
Dove Cameron,Boyfriend,"I cant believe were finally alone
I cant believe I almost went home
What are the chances Everyones dancing
And hes not with you Hmm hmm hmm hmm


The universe must have divined this
What am I gonna do Not grab your wrist


I could be a better boyfriend than him
I could do the shit that he never did
Up all night I wont quit
Thinking Im gonna steal you from him
I could be such a gentleman
Plus all my clothes would fit

I could be a better boyfriend


I dont need to tell you twice
All the ways h cant suffice
If I could give you some advic
I would leave with me tonight

The universe must have divined this Mmm mmm
Ladies first baby I insist

I could be a better boyfriend than him
I could do the shit that he never did
Up all night I wont quit
Thinking Im gonna steal you from him
I could be such a gentleman
Plus all my clothes would fit

I could be a better boyfriend than him
I could be a better boyfriend


I never would have left you alone
Here on your own glued to your phone
Never would have left you alone
For someone else to take you home


I could be a better boyfriend than him
I could do the shit that he never did
Up all night I wont quit
Im gonna steal you from him
I could be such a gentleman
Plus you know my clothes would fit
I could be a better boyfriend than him
I could do the shit that he never did
Up all night I wont quit
Thinking Im gonna steal you from him
I could be such a gentleman
Plus all my clothes would fit35",pop
The Cure,Boys Don't Cry,"I would say Im sorry
If I thought that it would change your mind
But I know that this time
I have said too much been too unkind


I tried to laugh about it
Cover it all up with lies
I tried to laugh about it
Hiding the tears in my eyes
Cause boys dont cry
Boys dont cry


I would break down at your feet
And beg forgiveness plead with you
But I know that its too late
And now theres nothing I can do


So I try to laugh about it
Cover it all up with lies
I try to laugh about it
Hiding the tears in my eyes
Cause boys dont cry
Boys dont cry

I would tell you that I loved you
If I thought that you would stay
But I know that its no use
And youve already gone away


Misjudged your limits
Pushed you too far
Took you for granted
I thought that you needed me more more more


Now I would do most anything
To get you back by my side
But I just keep on laughing
Hiding the tears in my eyes
Cause boys dont cry
Boys dont cry


Boys dont cry42",rock
Judas Priest,Breaking the Law,"There I was completely wasting out of work and down
All inside its so frustrating as I drift from town to town
Feel as though nobody cares if I live or die
So I might as well begin to put some action in my life


Breaking the law breaking the law
Breaking the law breaking the law
Breaking the law breaking the law
Breaking the law breaking the law


So much for the golden future I cant even start
Ive had every promise broken theres anger in my heart
You dont know what its like you dont have a clue
If you did youd find yourselves doing the same thing too


Breaking the law breaking the law
Breaking the law breaking the law
Breaking the law breaking the law
Breaking the law breaking the law


You dont know what its like
See Judas Priest LiveGet tickets as low as 24


Breaking the law breaking the law
Breaking the law breaking the law
Breaking the law breaking the law
Breaking the law breaking the law


Breaking the law breaking the law
Breaking the law breaking the law
Breaking the law breaking the law
Breaking the law breaking the law9",rock
Sonny Terry,Bring It On Home To Me,"If you ever change your mind
About leaving leaving me behind
Oh bring it to me
Bring your sweet loving
Bring it on home to me


Sonny if your woman was thinking about leaving you
What would do to get her back or what would you do
Are you talking to me Yeah
Ah Brownie I aint got too much to say about that man I let my harmonica talk for me just like this






Ill give you jewelry and money too
But that aint all I will do for you
Oh bring it
Bring your sweet loving
Bring it on home to me
Alright Sugar Cane do your thing
Bring em back



One more thing
You know I tried tried to treat her right
Oh did you man
But she stayed out stayed out late at night
But I forgive her
Bring it to me
Bring your sweet loving
Bring it back home to me baby


Yeah Yeah yeah Yeah
Oh yeah oh yeah oh yeah oh yeah
Oh yeah Yeah oh yeah Yeah
Oh yeah Yeah oh yeah Yeah
Oh yeah Yeah oh yeah Yeah
Oh yeah Yeah oh yeah Yeah
Oh yeah Yeah oh yeah Yeah",blues
Mark Chesnutt,Bubba Shot The Jukebox,"We were all down at Margies bar
Telling stories if we had one
Someone fired the old jukebox up
The song sure was a sad one
A teardrop rolled down Bubbas nose
From the pain the song was inflicting
And all at once he jumped to his feet
Just like somebody kicked him


Bubba shot the jukebox last night
Said it played a sad song that made him cry
Went to his truck and got a fortyfive
Bubba shot the jukebox last night


Bubba aint never been accused
Of being mentality stable
So we did not draw an easy breath
Until he laid that colt on the table
He hung his head till the cops showed up
They dragged him right out of Margies
Told him Dont you play dumb with us son
You know damn well what the charge is

Bubba shot the jukebox last night
Said it played a sad song that made him cry
Went to his truck and got a fortyfive
Well he shot the jukebox last night


Well the sheriff arrived with his bathrobe on
The confrontation was a tense one
Shook his head and said Bubba Boy
You was always a dense one
A reckless discharge of a gun
Thats what the officers are claiming
Bubba hollered Reckless Hell
I hit just where I was aiming


Bubba shot the jukebox last night
Said it played a sad song that made him cry
Went to his truck and got a fortyfive
Well he shot the jukebox
Stopped it with one shot
Bubba shot the jukebox last night


Well he could not tell right from wrong
Through the teardrops in his eyes
Beyond a shadow of a doubt
It was justifiable homicide



Bubba shot the jukebox
Stopped it with one shot
Bubba shot the jukebox last night1",Country
Bob Marley & The Wailers,Buffalo Soldier,"Buffalo soldier dreadlocked rasta
There was a Buffalo Soldier in the heart of America
Stolen from Africa brought to America
Fighting on arrival fighting for survival
I mean it when I analyse the stench
To me it makes a lot of sense
How the dreadlocked rasta was a Buffalo Soldier


And he was taken from Africa brought to America
Fighting on arrival fighting for survival
Said it was a Buffalo Soldier dreadlocked Rasta
Buffalo Soldier in the heart of America


If you know your history
Then you would know where youre coming from
Then you wouldnt have to ask me
Who the eck do I think I am


Im just a Buffalo Soldier in the heart of America
Stolen from Africa brought to America
Said he was fighting on arrival fighting for survival
Said he was a Buffalo Soldier in the war for America
Said he woy yoy yoy woy yoyyoy yoy
Woy yoy yoy yoy yoy yoyyoy yoy
Woy yoy yoy woy yoyyoy yoy
Woy yoy yoy yoy yoy yoyyoy yoy


Buffalo Soldier troddin through the land wohoooh
Said he want to ran and then you want a hand
Troddin through the land yeahea yeaea

Said he was a Buffalo Soldier in the war for America
Buffalo Soldier dreadlocked Rasta
Fighting on arrival fighting for survival
Driven from the mainland to the heart of the Caribbean

Said he woy yoy yoy woy yoyyoy yoy
Woy yoy yoy yoy yoy yoyyoy yoy
Woy yoy yoy woy yoyyoy yoy
Woy yoy yoy yoy yoy yoyyoy yoy


Trodding through San Juan
In the arms of America
Trodding through Jamaica a Buffalo Soldier
Fighting on arrival fighting for survival
Buffalo Soldier dreadlock rasta
Woy yoy yoy woy yoyyoy yoy
Woy yoy yoy yoy yoy yoyyoy yoy22",reggae
Wu-Tang Clan,"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)",-1,hiphop
Annisokay,Calamity,"Drag me down to the depths youre my calamity
Your touch is burning agony
I know I cant escape reality
Im falling into you


My fears are taking control
As Im sinking into this black hole
Shrouded in darkness and woe
From the shadows I cannot let go


Holding on
But you keep pulling me down
I am holding on
But I cant seem to break the sound


Drag me down to the depths youre my calamity
Your touch is burning agony
I know I cant escape reality
Im falling into you
Drag me down to the depths youre my disharmony
The chaos and your symphony
I know I cannot escape reality
Im falling into you

Its like you turned off the light
Its like you drained all the colors from life
Why am I lonely at night
You make me feel like the stars losing light


Holding on
But you keep pulling me down
I am holding on
But I cant seem to break the sound


Drag me down to the depths youre my calamity
Your touch is burning agony
I know I cant escape reality
Im falling into you
Drag me down to the depths youre my disharmony
The chaos and your symphony
I know I cannot escape reality
Im falling into you


Drag me down to the depths youre my calamity
I know I cant escape this reality
Drag me down to the depths youre my disharmony drag me down drag me down
The screams in my head are your melody my own melody
Drag me down to the depths youre my calamity
Your touch is burning agony
I know I cant escape reality
Im falling into you falling into you

Drag me down to the depths youre my calamity
Drag me down to the depths youre my disharmony
Im falling falling into you1",metal
Red Hot Chili Peppers,Californication,"Psychic spies from China try to steal your minds elation
And little girls from Sweden dream of silverscreen quotation
And if you want these kind of dreams its Californication


Its the edge of the world and all of Western civilization
The sun may rise in the East at least it settled in a final location
Its understood that Hollywood sells Californication


Pay your surgeon very well to break the spell of aging
Celebrity skin is this your chin or is that war youre waging
First born unicorn
Hardcore soft porn


Dream of Californication
Dream of Californication


Marry me girl be my fairy to the world be my very own constellation
A teenage bride with a baby inside getting high on information
And buy me a star on the boulevard its Californication


Space may be the final frontier but its made in a Hollywood basement
And Cobain can you hear the spheres singing songs off Station to Station
And Alderaans not far away its Californication
See Red Hot Chili Peppers LiveGet tickets as low as 71
Born and raised by those who praise control of population
Well everybodys been there and I dont mean on vacation
First born unicorn
Hardcore soft porn


Dream of Californication
Dream of Californication
Dream of Californication
Dream of Californication




Destruction leads to a very rough road but it also breeds creation
And earthquakes are to a girls guitar theyre just another good vibration
And tidal waves couldnt save the world from Californication


Pay your surgeon very well to break the spell of aging
Sicker than the rest there is no test but this is what youre craving
First born unicorn
Hardcore soft porn

Dream of Californication
Dream of Californication
Dream of Californication
Dream of Californication199",rock
T-Bone Walker,Call It Stormy Monday But Tuesday Is Just As Bad,"They call it stormy Monday
But Tuesdays just as bad
Yes they call it stormy Monday
But Tuesdays just as bad
Wednesdays worse
And Thursdays also sad

Yes the eagle flies on Friday
And Saturday I go out to play
Yes the eagle flies on Friday
And Saturday I go out to play
Sunday I go to church
Then I kneel down and pray



Lord have mercy
Lord have mercy on me
Lord have mercy
My hearts in misery
Crazy about my baby
Yeah send her back to me",blues
Carly Rae Jepsen,Call Me Maybe,"I threw a wish in the well
Dont ask me Ill never tell
I looked to you as it fell
And now youre in my way
I trade my soul for a wish
Pennies and dimes for a kiss
I wasnt looking for this
But now youre in my way


Your stare was holdin
Ripped jeans skin was showin
Hot night wind was blowin
Where you think youre going baby


Hey I just met you and this is crazy
But heres my number so call me maybe
Its hard to look right at you baby
But heres my number so call me maybe
Hey I just met you and this is crazy
But heres my number so call me maybe
And all the other boys try to chase me
But heres my number so call me maybe
See Carly Rae Jepsen LiveGet tickets as low as 100
You took your time with the call
I took no time with the fall
You gave me nothin at all
But still youre in my way
I beg and borrow and steal
At first sight and its real
I didnt know I would feel it
But its in my way


Your stare was holdin
Ripped jeans skin was showin
Hot night wind was blowin
Where you think youre going baby


Hey I just met you and this is crazy
But heres my number so call me maybe
Its hard to look right at you baby
But heres my number so call me maybe
Hey I just met you and this is crazy
But heres my number so call me maybe
And all the other boys try to chase me
But heres my number so call me maybe

Before you came into my life I missed you so bad
I missed you so bad I missed you so so bad
Before you came into my life I missed you so bad
And you should know that I missed you so so bad


Its hard to look right at you baby
But heres my number so call me maybe
Hey I just met you and this is crazy
But heres my number so call me maybe
And all the other boys try to chase me
But heres my number so call me maybe


Before you came into my life I missed you so bad
I missed you so bad I missed you so so bad
Before you came into my life I missed you so bad
And you should know that so call me maybe72",pop
A Tribe Called Quest,Can I Kick It?,"Can I kick it Yes you can
Can I kick it Yes you can
Can I kick it Yes you can
Can I kick it Yes you can
Can I kick it Yes you can
Can I kick it Yes you can
Can I kick it Yes you can
Well Im gone Go on then


Can I kick it To all the people who can Quest like A Tribe does
Before this did you really know what live was
Comprehend to the track for its why cuz
Gettin measures on the tip of the vibers
Rock and roll to the beat of the funk fuzz
Wipe your feet really good on the rhythm rug
If you feel the urge to freak do the jitterbug
Come and spread your arms if you really need a hug
Afrocentric living is a big shrug
A life filled with fun thats what I love
A lower plateau is what were above
If you diss us we wont even think of
Will Nipper the doggy give a big shove
This rhythm really fits like a snug glove
Like a box of positives its a plus love
As the Tribe flies high like a dove
Can I kick it

Can I kick it Yes you can
Can I kick it Yes you can
Can I kick it Yes you can
Can I kick it Yes you can
Can I kick it Yes you can
Can I kick it Yes you can
Can I kick it Yes you can
Well Im gone Go on then


Can I kick it To my Tribe that flows in layers
Right now Phife is a poem sayer
At times Im a studio conveyor
Mr Dinkins would you please be my mayor
Youll be doing us a really big favor
Boy this track really has a lot of flavor
When it comes to rhythms Quest is your savior
Follow us for the funky behavior
Make a note on the rhythm we gave ya
Feel free drop your pants check your hair
Do you like the garments that we wear
I instruct you to be the obeyer
A rhythm recipe that youll savor
Doesnt matter if youre minor or major
Yes the Tribe of the game were the player
As you inhale like a breath of fresh air
Can I kick it72",hiphop
Buried In Verona,Can't Be Unsaid,"Im letting go


You need to fall
Before you learn how to fly
You know Ive made mistakes
But I tried
Ive lost everything
No price I can pay to begin again
Just go


Im letting go of who I am
Im running towards the ocean
Drown the thoughts that weigh me down
Im letting go
Im changing now
Back before the voices
Twisted up and tore me down
Im letting go


Blame me
Blame who you want
This lifes too short to right the wrongs
We just hurt the very thing
That has carried us
With a life to live
Just go

Can we move through this struggle
Can we push past the pain
Can we all climb this mountain
Can we do us again


Im letting go of who I am
Im running towards the ocean
Drown the thoughts that weigh me down
Im letting go
Im changing now
Back before the voices
Twisted up and tore me down
Im letting go

 x2
I know the truth
And the skys falling down
Lies coming out Im done


Im letting go of who I am
Im running towards the ocean
Drown the thoughts that weigh me down
Im letting go
Im changing now
Back before the voices
Twisted up and tore me down
Im letting go2",metal
LeAnn Rimes,Can't Fight The Moonlight,"Under a lovers sky
Gonna be with you
And no ones gonna be around
If you think that you wont fall
Well just wait until
Til the sun goes down


Underneath the starlight starlight
Theres a magical feeling so right
It will steal your heart tonight


You can try to resist
Try to hide from my kiss
But you know but you know that you
Cant fight the moonlight
Deep in the dark youll surrender your heart
But you know but you know that you
Cant fight the moonlight
No you cant fight it
Its gonna get to your heart


Theres no escaping love
Once a gentle breeze
Weaves its spell upon your heart
No matter what you think
It wont be too long not too long
Til youre in my arms

Underneath the starlight starlight
Well be lost in the rhythm so right
Feel it steal your heart tonight


You can try to resist
Try to hide from my kiss
But you know but you know that you
Cant fight the moonlight
Deep in the dark youll surrender your heart
But you know but you know that you cant
Cant fight the moonlight
No you cant fight it
No matter what you do no matter what you do
The night is gonna get to you


Never know
Cannot know
Dont try youre never gonna win


Underneath the starlight starlight
Theres a magical feeling so right
It will steal your heart tonight

You can try
You can try to resist try to hide from my kiss but you know
But you know that you you know that you
Cant fight the moonlight
Deep in the dark deep in the dark
Youll surrender your heart
But you know but you know that you
Cant fight the moonlight no you cant fight it
You can try You can try to resist my kiss
But you know dont you know that you cant
Cant fight the moonlight deep in the dark
Youll surrender your heart surrender your heart
But you know but you know that you
Cant fight the moonlight
No you cant fight it
Its gonna get to your heart11",Country
Blind Faith,Can't Find My Way Home,"Come down off your throne and leave your body alone
Somebody must change
You are the reason Ive been waiting so long
Somebody holds the key


But Im near the end and I just aint got the time
And Im wasted and I cant find my way home


Come down on your own and leave your body alone
Somebody must change
You are the reason Ive been waiting all these years
Somebody holds the key


But Im near the end and I just aint got the time
And Im wasted and I cant find my way home


But I cant find my way home
But I cant find my way home
But I cant find my way home
But I cant find my way home
Still I cant find my way home
And I aint done nothing wrong
But I cant find my way home5",blues
Herbie Hancock,Cantaloupe Island - Remastered 1999/Rudy Van Gelder Edition,-1,jazz
Billy Ocean,Caribbean Queen (No More Love On the Run),"Shes simply awesome
Ooh


She dashed by me in painted on jeans
And all heads turned cause she was the dream
In the blink of an eye I knew her number and her name yeah
She said I was the tiger she wanted to tame


Caribbean Queen
Now were sharing the same dream
And our hearts they beat as one
No more love on the run


I lose my cool when she steps in the room
And I get so excited just from her perfume
Electric eyes that you cant ignore
And passion burns you like never before


I was in search of a good time
Just running my game
Love was the furthest
Furthest from my mind

Caribbean Queen
Now were sharing the same dream
And our hearts they beat as one
No more love on the run


Caribbean Queen
Now were sharing the same dream
And our hearts they beat as one
No more love on the run




Caribbean Queen
Now were sharing the same dream
And our hearts they beat as one
No more love on the run


Caribbean Queen
Now were sharing the same dream
And our hearts they beat as one
No more love on the run

She is the queen
My Caribbean Queen
I said she dashed by me in painted jeans5",disco
Camille Saint-Saëns,"Carnival of the Animals, R. 125: The Swan",-1,classical
The Wise Man's Fear,Carry On,"As we all wait here
Lurking with the shadows
In this dead atmosphere
Watching blood form frost
We left in search of answers
How did we become so lost


All we have is this fight against the wind and fire in our bones Bones
Now it seems that with darker days before us
Through terror
We carry on carry on


Another daybreak
Another night awake
Too horrified to move
But unable to remain in this place
I take a moment to collect myself
Before my heart succumbs to this hate


Each step treading a blanket of bones
Nothing more than the shards of a dire past
Each day threading a new needle
Stitching up visions of the curses we cast

All we have is this fight against the wind and fire in our bones Bones
Now it seems that with darker days before us
Through terror
We carry on carry on
Growing numb from standing in the sun
To fight against the shadow
You sacrifice the light from your heart
Now it seems that with darker days before us
Through terror
We carry on carry on


All these years spiraling
Spent tempering vengeance with insanity
All these years spiraling
Spent tempering vengeance with insanity
Oh a birthright of fire
Wrung from the land that time had forgot
Oh a deepseated terror
The road to oblivion is paved with those lost


All we have is this fight against the wind and fire in our bones Our bones
Now it seems that with darker days before us
Through terror
We carry on carry on
We carry on we carry on we carry on
Growing numb from standing in the sun
To fight against the shadow
You sacrifice the light from your heart
Now it seems that with darker days before us
Through terror
We carry on carry on

Our birthright is fire
Doomed to wander the land that time had forgot
Existence is terror
A road to oblivion paved with the lost",metal
Rodney Atkins,Caught Up In The Country,"Square bales flatbeds
Clothesline sunsets
Sky blue barn red
Wind chimes front porch
Good dogs wood floors
Work boots open doors
And miles and miles of John Deere green
Freedom far as I can see
A road to run and room to breathe
Thats who I am and Ill always be


Caught up in the country
The only way I wanna be
Somewhere where the road ends
Out there where the creek bends
Thats where you can find me
With them fields of gold and cotton rows
That never ending sky
I take it slow and easy roaming this life
Caught up in the country


Just look at em stars
Must be a billion of em
They just doing they thing
Right where God put em
See Rodney Atkins LiveGet tickets as low as 45
If this aint heaven its halfway there
You can feel it in the air


Caught up in the country
The only way I wanna be
Somewhere where the road ends
Out there where the creek bends
Thats where you can find me Find me
With them fields of gold and cotton rows
That never ending sky
I take it slow and easy roaming this life
Caught up in the country I was brought up in it
Caught up in the country Oh and good Lord willin
Yes I am my way Ill stay
Caught up in it caught up in it
Somewhere where the road ends
Out there where the creek bends
Thats where you can find me I was brought up in it


With them fields of gold and cotton rows
That never ending sky
I take it slow and easy roaming this life
Miles and miles of John Deere green
Caught up in the country
Freedom far as I can see
Caught up in the country
A road to run and room to breathe
Thats who I am and Ill always be

Caught up in the country
Caught up in the country
Caught up in the country
in this life
Caught up in the country1",Country
Pietro Mascagni,Cavalleria rusticana: Intermezzo,-1,classical
Max Romeo,Chase The Devil,"Lucifer son of the morning
Im gonna chase you out of Eart


Im gonna put on a iron shirt
And chase Satan out of Eart
Im gonna put on a iron shirt
And chase the devil out of Eart
Im gonna send him to outer space
To find another race
Im gonna send him to outer space
To find another race


Satan is a evilous man
But him cant chucks it on Iman
So when I check him my lass in hand
And if him slip I gone wid him hand


Im gonna put on a iron shirt
And chase Satan out of Eart
Im gonna put on a iron shirt
And chase the devil out of Eart
Im gonna send him to outer space
To find another race
Im gonna send him to outer space
To find another race Oh yeah



Him haffi drop Him fork and run
Him cant stand up to Jah Jah son
Him haffi left yah with him gun
Dig off with him bum


Im gonna put on a iron shirt
And chase Satan out of Eart
Im gonna put on a iron shirt
And chase the devil out of Eart
Im gonna send him to outer space
To find another race
Im gonna send him to outer space
To find another race


Satan is a evilous man
But him cant chucks it on Iman
So when I check him my lass in hand
And if him slip I gone wid him hand


Im gonna put on a iron shirt
And chase Satan out of Eart
Im gonna put on a iron shirt
And chase the devil out of Eart
Im gonna send him to outer space
To find another race
Im gonna send him to outer space
To find another race



Move yah with yuh gone
Me say fe lef yah with yuh bum Oh yeah
Move you with yuh bum
Me say fe left yah with yuh gun
If yuh walk an  everything2",reggae
George Strait,Check Yes Or No,"It started way back in third grade
I used to sit beside Emmylou Hayes
A pink dress a matching bow and her pony tail
She kissed me on the school bus but told me not to tell


Next day I chased her round the playground
Across the monkey bars to the merrygoround
And Emmylou got caught passing me a note
Before the teacher took it I read what she wrote


Do you love me do you wanna be my friend
And if you do
Well then dont be afraid to take me by the hand
If you want to
I think this is how love goes check yes or no


Now were grown up and shes my wife
Still like two kids with stars in our eyes
Aint much changed I still chase Emmylou
Up and down the hall around the bed in our room


Last night I took her out in a white limousine
Twenty years together she still gets to me
Cant believe its been that long ago
When we got started with just a little note
See George Strait LiveGet tickets as low as 60
Do you love me do you wanna be my friend
And if you do
Well then dont be afraid to take me by the hand
If you want to
I think this is how love goes check yes or no


Do you love me do you wanna be my friend
And if you do
Well then dont be afraid to take me by the hand
If you want to
I think this is how love goes check yes or no


Check yes or no
Check yes or no
Check yes or no
Check yes or no5",Country
Hendy,Cheers,"Wasnt born a optimist but this life made me one
I was taken from my mother shit I wasnt even one
Not to sound mean but that bitch she was crazy dumb
Who does drugs when they are pregnant with they baby son
Anyway I was taken to my aunts
Its crazy what we dont remember how it still haunts us
Five pounds just tryna survive
But I was taken away why Reason for failure to thrive
By arrived Im revived
Landed in that foster care
Cant explain the love that was offered there
My friend I love you I know you tried hard
Then you had a lot to deal with
Honestly you aint have enough cards
Age six thats when my life started
When Hendersin was born and nickles was just a daily departed
Thats probably why I come so highly regarded
And I  rather die broke than to live broken hearted


Time to make a toast
Cause we so close
And our dreams never far away
No they cant see
Everything well be
And theres really nothing left to say no
So sing cheers yeah yeah
Sing cheers yeah yeah
Sing cheers

Uh a directionless nonaffectioness
Perfectionist tryna find out what the question is sing cheers
A real family to love and to teach
Failure I had to get past the preach
Highschool it was a pleasure
Gettin drunk and using sports as a measure
Or your selfworth didnt put myself first endlessly
Said Im leaving school my dad became my enemy
Soon music became the remedy anecdote
Funny he went from being the man who wont support me
To surely knowing that I am blowing
To the point I probably need a life jacket and a boat
My way or the highway it took the toll
They took me for granted but they would never take my soul
My family that I cherish my girl that I love
Irreplaceable fans just raise your glass above


Time to make a toast
Cause we so close
And our dreams never far away
No they cant see
Everything well be
And theres really nothing left to say no
So sing cheers yeah yeah
Sing cheers yeah yeah
Sing cheers",hiphop
